# Forensic timeline of all Cloudflare queue operations on account
# 17347346d8cc54bbb820a0a0413d98c0 between 2026-09-14 02:00 and 06:00 UTC.
#
# Regenerate with: python3 scripts/extract-queue-timeline.py

Total Wrangler log files inspected: 407
Total Queue events recorded: 197

| Log Timestamp (UTC) | Log File | Action | Target / Queue Name | Details |
| `2026-09-14T04:48:28.488Z` | `wrangler-2026-09-14_04-48-26_596.log` | `CONSUMER_REMOVE` | `edgepay-fresh-webhook-out` | Consumer detach attempt |
| `2026-09-14T04:48:36.592Z` | `wrangler-2026-09-14_04-48-35_580.log` | `CONSUMER_REMOVE` | `edgepay-fresh-email-out` | Consumer detach attempt |
| `2026-09-14T04:48:44.883Z` | `wrangler-2026-09-14_04-48-43_491.log` | `CONSUMER_REMOVE` | `edgepay-fresh-sms-parse` | Consumer detach attempt |
| `2026-09-14T04:48:58.728Z` | `wrangler-2026-09-14_04-48-57_380.log` | `DELETE` | `edgepay-fresh-webhook-out` | Queue deletion (SUCCESS) |
| `2026-09-14T04:49:05.420Z` | `wrangler-2026-09-14_04-49-04_336.log` | `DELETE` | `edgepay-fresh-email-out` | Queue deletion (SUCCESS) |
| `2026-09-14T04:49:12.579Z` | `wrangler-2026-09-14_04-49-11_526.log` | `DELETE` | `edgepay-fresh-sms-parse` | Queue deletion (SUCCESS) |
| `2026-09-14T04:49:19.471Z` | `wrangler-2026-09-14_04-49-18_399.log` | `DELETE` | `edgepay-fresh-webhook-out-dlq` | Queue deletion (SUCCESS) |
| `2026-09-14T04:49:26.302Z` | `wrangler-2026-09-14_04-49-24_955.log` | `DELETE` | `edgepay-fresh-email-out-dlq` | Queue deletion (SUCCESS) |
| `2026-09-14T04:49:35.709Z` | `wrangler-2026-09-14_04-49-34_360.log` | `DELETE` | `edgepay-fresh-sms-parse-dlq` | Queue deletion (SUCCESS) |
| `2026-09-14T04:51:53.569Z` | `wrangler-2026-09-14_04-51-50_515.log` | `CREATE` | `edgepay-fresh-email-out` | Queue created |
| `2026-09-14T04:51:54.159Z` | `wrangler-2026-09-14_04-51-50_615.log` | `CREATE` | `edgepay-fresh-webhook-out-dlq` | Queue created |
| `2026-09-14T04:51:56.356Z` | `wrangler-2026-09-14_04-51-54_262.log` | `CREATE` | `edgepay-fresh-email-out-dlq` | Queue created |
| `2026-09-14T04:51:57.540Z` | `wrangler-2026-09-14_04-51-55_805.log` | `CREATE` | `edgepay-fresh-sms-parse` | Queue created |
| `2026-09-14T04:51:58.940Z` | `wrangler-2026-09-14_04-51-56_521.log` | `CREATE` | `edgepay-fresh-sms-parse-dlq` | Queue created |
| `2026-09-14T04:51:58.972Z` | `wrangler-2026-09-14_04-51-57_005.log` | `CREATE` | `edgepay-fresh-webhook-out` | Queue created |
| `2026-09-14T05:06:46.222Z` | `wrangler-2026-09-14_05-06-45_198.log` | `CONSUMER_REMOVE` | `edgepay-fresh-webhook-out` | Consumer detach attempt |
| `2026-09-14T05:06:53.371Z` | `wrangler-2026-09-14_05-06-52_185.log` | `CONSUMER_REMOVE` | `edgepay-fresh-email-out` | Consumer detach attempt |
| `2026-09-14T05:07:01.016Z` | `wrangler-2026-09-14_05-06-59_839.log` | `CONSUMER_REMOVE` | `edgepay-fresh-sms-parse` | Consumer detach attempt |
| `2026-09-14T05:07:17.296Z` | `wrangler-2026-09-14_05-07-15_946.log` | `DELETE` | `edgepay-fresh-webhook-out` | Queue deletion (SUCCESS) |
| `2026-09-14T05:08:09.926Z` | `wrangler-2026-09-14_05-08-08_583.log` | `DELETE` | `edgepay-fresh-email-out` | Queue deletion (SUCCESS) |
| `2026-09-14T05:08:19.557Z` | `wrangler-2026-09-14_05-08-18_370.log` | `DELETE` | `edgepay-fresh-sms-parse` | Queue deletion (SUCCESS) |
| `2026-09-14T05:08:27.559Z` | `wrangler-2026-09-14_05-08-26_298.log` | `DELETE` | `edgepay-fresh-webhook-out-dlq` | Queue deletion (SUCCESS) |
| `2026-09-14T05:08:36.413Z` | `wrangler-2026-09-14_05-08-35_189.log` | `DELETE` | `edgepay-fresh-email-out-dlq` | Queue deletion (SUCCESS) |
| `2026-09-14T05:08:45.548Z` | `wrangler-2026-09-14_05-08-44_391.log` | `DELETE` | `edgepay-fresh-sms-parse-dlq` | Queue deletion (SUCCESS) |
| `2026-09-14T05:10:41.181Z` | `wrangler-2026-09-14_05-10-39_121.log` | `CREATE` | `edgepay-fresh-email-out-dlq` | Queue created |
| `2026-09-14T05:10:42.634Z` | `wrangler-2026-09-14_05-10-38_800.log` | `CREATE` | `edgepay-fresh-sms-parse` | Queue created |
| `2026-09-14T05:10:43.409Z` | `wrangler-2026-09-14_05-10-41_574.log` | `CREATE` | `edgepay-fresh-webhook-out` | Queue created |
| `2026-09-14T05:10:44.851Z` | `wrangler-2026-09-14_05-10-42_843.log` | `CREATE` | `edgepay-fresh-email-out` | Queue created |
| `2026-09-14T05:10:44.968Z` | `wrangler-2026-09-14_05-10-42_507.log` | `CREATE` | `edgepay-fresh-webhook-out-dlq` | Queue created |
| `2026-09-14T05:10:45.186Z` | `wrangler-2026-09-14_05-10-42_611.log` | `CREATE` | `edgepay-fresh-sms-parse-dlq` | Queue created |
| `2026-09-14T05:45:32.150Z` | `wrangler-2026-09-14_05-45-31_561.log` | `LIST` | `edgepay-fresh-email-out` | ID: ece318e0... Created: 2026-09-14T05:10:45.355493Z |
| `2026-09-14T05:45:32.150Z` | `wrangler-2026-09-14_05-45-31_561.log` | `LIST` | `edgepay-fresh-email-out-dlq` | ID: 1721e114... Created: 2026-09-14T05:10:41.749408Z |
| `2026-09-14T05:45:32.150Z` | `wrangler-2026-09-14_05-45-31_561.log` | `LIST` | `edgepay-fresh-sms-parse` | ID: f147eb93... Created: 2026-09-14T05:10:43.537903Z |
| `2026-09-14T05:45:32.150Z` | `wrangler-2026-09-14_05-45-31_561.log` | `LIST` | `edgepay-fresh-sms-parse-dlq` | ID: a5f8f0f5... Created: 2026-09-14T05:10:45.841589Z |
| `2026-09-14T05:45:32.150Z` | `wrangler-2026-09-14_05-45-31_561.log` | `LIST` | `edgepay-fresh-webhook-out` | ID: f9f32f09... Created: 2026-09-14T05:10:43.979073Z |
| `2026-09-14T05:45:32.150Z` | `wrangler-2026-09-14_05-45-31_561.log` | `LIST` | `edgepay-fresh-webhook-out-dlq` | ID: 50f41de0... Created: 2026-09-14T05:10:45.60195Z |
| `2026-09-14T05:46:03.763Z` | `wrangler-2026-09-14_05-46-03_008.log` | `DELETE` | `xxx` | Queue deletion (ATTEMPT/FAIL) |
| `2026-09-14T05:46:26.071Z` | `wrangler-2026-09-14_05-46-25_416.log` | `DELETE` | `xxx` | Queue deletion (ATTEMPT/FAIL) |
| `2026-09-14T05:47:20.988Z` | `wrangler-2026-09-14_05-47-20_403.log` | `CONSUMER_REMOVE` | `nonexistent-queue-12345` | Consumer detach attempt |
| `2026-09-14T05:51:56.174Z` | `wrangler-2026-09-14_05-51-55_492.log` | `LIST` | `edgepay-fresh-email-out` | ID: ece318e0... Created: 2026-09-14T05:10:45.355493Z |
| `2026-09-14T05:51:56.174Z` | `wrangler-2026-09-14_05-51-55_492.log` | `LIST` | `edgepay-fresh-email-out-dlq` | ID: 1721e114... Created: 2026-09-14T05:10:41.749408Z |
| `2026-09-14T05:51:56.174Z` | `wrangler-2026-09-14_05-51-55_492.log` | `LIST` | `edgepay-fresh-sms-parse` | ID: f147eb93... Created: 2026-09-14T05:10:43.537903Z |
| `2026-09-14T05:51:56.174Z` | `wrangler-2026-09-14_05-51-55_492.log` | `LIST` | `edgepay-fresh-sms-parse-dlq` | ID: a5f8f0f5... Created: 2026-09-14T05:10:45.841589Z |
| `2026-09-14T05:51:56.174Z` | `wrangler-2026-09-14_05-51-55_492.log` | `LIST` | `edgepay-fresh-webhook-out` | ID: f9f32f09... Created: 2026-09-14T05:10:43.979073Z |
| `2026-09-14T05:51:56.174Z` | `wrangler-2026-09-14_05-51-55_492.log` | `LIST` | `edgepay-fresh-webhook-out-dlq` | ID: 50f41de0... Created: 2026-09-14T05:10:45.60195Z |
